index,AD_1_02_1,AD_1_04_1,AD_1_08_1,AD_1_09_1,AD_1_11_1,AD_1_13_1,AD_2_01_1,AD_2_02_1,AD_2_03_1,AD_2_05_1,AD_2_07_1,AD_3_00_1,AD_3_01_1,AD_3_03_1,AD_3_05_1,AD_3_07_1,AD_4_10_1,AD_4_11_1,AD_4_12_1,AD_4_13_1,AD_5_09_1,AD_5_10_1,AD_5_11_1,AD_5_12_1,AD_5_13_1,AD_6_09_1,AD_6_10_1,AD_6_11_1,AD_6_12_1,AD_6_13_1,AD_7_06_1,AD_7_08_1,AD_7_09_1,AD_7_11_1,AD_7_12_1,AD_8_03_1,AD_8_05_1,AD_8_07_1,AD_8_09_1,AD_8_11_1,AD_8_12_1,AD_9_04_1,AD_9_06_1,AD_9_09_1,AD_10_04_1,AD_10_06_1,AD_10_09_1,AD_10_10_1,AD_11_02_1,AD_11_03_1,AD_11_04_1,AD_11_08_1,AD_11_10_1,AD_12_02_1,AD_12_03_1,AD_12_05_1,AD_12_07_1,AD_13_00_1,AD_13_03_1,AD_13_04_1,AD_13_06_1,AD_14_00_1,AD_14_01_1,AD_14_03_1,AD_14_05_1,AD_14_07_1,AD_14_10_1,AD_14_13_1,AD_14_14_1,AD_15_00_1,AD_15_01_1,AD_15_03_1,AD_15_04_1,AD_15_06_1,N_1_01_1,N_1_05_1,N_1_07_1,N_1_08_1,N_1_09_1,N_2_00_1,N_2_01_1,N_2_03_1,N_2_06_1,N_2_08_1,N_3_01_1,N_3_03_1,N_3_04_1,N_3_06_1,N_4_01_1,N_4_02_1,N_4_04_1,N_4_06_1,N_4_08_1,N_5_03_1,N_5_04_1,N_5_06_1,N_5_08_1,N_5_10_1,N_6_01_1,N_6_02_1,N_6_03_1,N_6_06_1,N_6_08_1,N_7_01_1,N_7_02_1,N_7_04_1,N_7_07_1,N_8_01_1,N_8_05_1,N_8_07_1,N_9_00_1,N_9_03_1,N_9_06_1,N_9_08_1,N_9_12_1
ENSG00000156467,12,30,26,20,27,23,32,30,22,66,15,22,53,40,5,53,26,12,12,37,27,6,10,47,17,19,6,27,37,50,7,3,18,19,18,41,5,19,40,3,49,16,34,26,40,13,19,28,14,21,2,19,6,9,5,22,12,14,24,19,9,12,47,9,10,66,38,36,43,1,0,9,30,51,17,12,27,20,22,62,13,9,29,55,51,14,9,7,0,0,30,20,13,25,15,34,26,27,52,10,19,46,32,21,39,21,6,24,15,12,48,44,21,8,20
ENSG00000164924,40,26,3,22,23,39,31,22,15,18,15,26,50,10,11,58,20,10,16,7,22,0,0,39,27,18,27,35,9,43,3,7,28,13,56,68,13,67,8,23,46,19,28,52,3,42,21,37,17,21,24,91,215,23,11,52,15,1,9,8,2,12,19,4,48,37,15,24,24,22,41,26,33,22,0,4,6,30,11,42,31,50,64,37,39,13,13,8,0,131,11,36,25,6,24,18,53,16,32,25,30,25,8,17,11,51,22,26,32,48,47,32,22,24,26
ENSG00000165156,14,28,31,19,9,14,8,13,7,28,28,20,36,13,16,40,15,11,25,7,24,6,4,31,25,16,4,0,0,31,5,8,35,5,11,10,3,24,36,0,13,8,12,14,8,7,30,14,11,2,3,0,33,42,22,15,8,0,10,11,10,27,46,9,39,6,2,20,19,19,10,14,25,41,7,2,22,5,8,61,24,18,0,35,28,27,8,3,0,0,2,15,14,2,22,23,33,25,10,25,31,36,46,12,16,19,10,25,0,17,24,17,1,1,17
ENSG00000197579,10,1,5,8,3,10,7,19,9,5,28,8,21,8,12,26,4,15,3,1,3,2,1,1,4,9,4,0,10,25,18,5,6,11,11,5,0,7,13,1,5,0,20,11,2,0,15,22,5,15,6,2,14,11,10,10,2,1,18,2,9,10,13,18,22,13,5,5,4,6,11,1,30,5,39,1,22,12,8,12,5,25,2,12,16,13,7,0,0,3,13,0,2,11,3,22,10,22,0,16,26,8,18,7,16,21,1,20,6,1,8,14,3,9,0
ENSG00000137074,3,7,10,15,10,18,23,17,13,8,1,9,18,0,1,28,11,4,0,5,13,1,3,15,3,8,17,9,0,24,2,0,7,11,5,20,19,2,6,0,3,11,14,14,1,15,13,18,1,0,2,0,0,10,1,24,3,18,0,6,2,13,14,22,9,9,2,6,5,0,20,2,13,3,23,0,9,11,10,40,20,11,5,22,31,7,6,4,0,0,0,16,10,3,10,13,12,23,13,23,11,9,7,7,10,20,7,13,7,9,18,23,21,10,19
ENSG00000165280,11,12,7,27,20,5,12,29,20,17,20,7,36,22,3,21,20,3,16,18,11,6,0,11,22,14,5,11,14,39,8,28,14,20,30,28,18,18,14,3,27,5,13,19,5,9,11,29,13,1,26,0,10,8,2,17,16,5,1,10,0,26,36,10,16,2,13,11,19,6,2,4,16,26,8,6,23,12,11,46,29,11,10,32,16,12,9,11,123,1,4,4,9,2,19,23,28,27,10,15,11,25,3,11,12,8,16,26,3,3,1,27,4,30,16
ENSG00000198722,19,38,20,38,26,27,15,19,17,39,40,6,55,32,2,42,8,16,21,24,26,9,9,21,25,21,21,0,2,55,18,3,25,22,23,27,23,22,38,5,61,3,17,37,6,14,50,38,10,0,28,57,2,30,31,25,13,16,10,11,24,28,37,22,19,32,44,27,29,2,0,0,42,19,16,73,22,40,22,63,23,42,27,63,35,20,16,17,0,0,55,8,10,23,11,33,21,20,11,26,24,58,23,25,22,26,31,29,4,53,49,36,12,34,32
ENSG00000136936,2,6,2,25,4,10,0,1,5,9,2,0,20,2,0,8,1,0,3,0,2,13,3,0,4,2,1,0,15,16,14,0,20,5,0,15,0,1,12,0,2,9,4,4,0,0,3,27,0,0,23,8,0,7,1,2,0,0,3,2,0,0,1,7,4,5,0,6,24,0,14,0,0,25,2,7,5,0,8,12,5,9,4,4,12,11,1,0,0,0,8,2,1,0,3,10,0,11,8,0,11,9,0,12,8,13,11,8,4,7,13,4,1,8,2
ENSG00000165029,17,19,26,41,38,24,80,17,39,48,47,50,83,32,18,59,27,22,15,41,24,6,10,78,61,21,32,15,12,99,74,24,42,35,47,59,17,22,20,20,84,22,36,56,13,10,43,46,5,17,41,3,12,26,9,86,15,24,27,22,54,29,43,15,30,65,37,76,47,9,5,12,35,52,64,21,15,47,52,102,30,30,44,65,81,39,34,23,60,0,23,9,21,8,22,42,51,35,77,33,56,41,66,35,15,27,33,61,21,24,78,33,36,38,19
ENSG00000070214,31,19,36,14,64,25,42,18,22,40,28,51,87,44,4,60,32,12,11,11,27,52,43,21,69,25,16,16,35,56,36,23,27,33,24,46,21,24,5,3,53,11,53,43,5,53,73,59,18,10,14,20,1,79,7,73,28,30,29,13,22,57,98,30,35,39,13,52,63,18,7,45,53,57,19,50,23,10,42,104,36,44,47,73,44,22,14,18,0,37,22,15,21,7,24,41,58,9,39,61,17,64,58,22,31,50,36,41,10,11,67,43,36,37,45
ENSG00000130707,2,5,2,5,7,9,2,14,12,9,25,14,18,26,11,13,15,13,0,4,4,5,0,1,2,8,6,6,4,23,5,10,6,5,14,13,15,1,5,0,8,5,6,14,0,16,2,10,9,4,7,1,4,1,5,22,2,6,1,2,1,20,3,19,13,16,3,19,9,12,7,1,2,2,2,3,15,10,13,22,15,8,11,4,1,14,11,3,0,2,5,6,2,1,1,7,2,11,0,18,4,17,9,8,17,7,5,5,7,2,18,3,2,3,12
ENSG00000097007,5,11,5,12,6,0,16,28,10,5,23,31,59,40,7,30,8,16,10,4,17,5,6,10,5,28,12,2,16,40,19,9,20,4,33,17,9,24,10,5,33,14,2,15,2,26,6,28,8,0,4,21,1,15,3,30,8,5,0,10,6,9,13,19,19,31,17,33,5,11,3,7,38,5,2,19,5,1,29,49,19,37,16,31,37,30,12,6,0,0,7,5,1,4,10,13,19,10,11,9,27,5,26,17,15,9,16,35,7,7,18,23,2,2,10
ENSG00000165699,32,15,32,31,40,16,17,30,32,10,32,43,85,30,36,62,33,19,16,16,5,116,38,11,27,36,27,34,11,71,22,10,28,21,42,40,0,28,41,37,22,9,28,43,10,20,30,45,8,23,36,16,1,17,12,53,17,9,22,26,15,41,64,16,31,37,11,36,43,0,27,3,14,52,14,2,30,29,35,66,52,21,17,59,45,48,21,32,1,12,26,22,30,8,21,25,45,59,23,33,24,67,77,42,32,19,50,56,12,21,33,32,8,15,21
ENSG00000169925,17,9,13,5,10,7,31,39,9,29,13,23,35,7,19,41,9,37,16,2,5,9,6,7,23,13,16,4,14,42,11,8,14,8,18,11,5,21,4,4,14,1,15,14,3,4,14,12,3,0,9,2,1,7,10,19,11,16,7,12,3,35,32,18,37,14,6,22,34,13,1,1,26,13,10,2,10,12,4,40,29,77,1,59,23,10,11,6,6,0,11,16,21,2,9,15,31,24,9,12,33,24,29,15,5,20,8,23,9,7,22,14,15,4,13
ENSG00000196363,4,8,14,5,15,5,27,7,18,21,29,28,19,4,10,15,11,0,1,6,6,13,1,0,4,13,11,0,11,13,2,4,7,6,12,13,6,7,2,0,4,0,28,11,14,12,6,20,7,0,27,3,5,14,2,2,13,7,5,13,1,11,24,7,3,8,23,8,3,5,5,0,8,10,1,2,19,6,7,31,13,33,18,25,19,1,12,2,0,15,15,9,0,2,8,9,7,23,0,20,7,8,11,1,10,1,3,8,6,14,1,24,8,9,30
ENSG00000169692,0,3,1,10,6,2,1,4,9,2,0,3,16,1,1,8,2,1,3,4,1,0,1,0,13,8,1,0,2,6,2,6,4,5,15,22,0,0,2,2,1,0,5,1,1,0,0,10,0,0,2,2,0,0,0,19,8,0,0,2,1,1,6,3,2,0,0,2,3,0,0,8,0,0,3,0,7,4,0,21,24,12,6,5,8,18,1,0,0,3,0,5,0,0,0,7,11,4,14,0,5,2,1,6,12,2,6,2,2,5,7,3,0,0,3
