index,AD_1_02_1,AD_1_04_1,AD_1_08_1,AD_1_09_1,AD_1_11_1,AD_1_13_1,AD_2_01_1,AD_2_02_1,AD_2_03_1,AD_2_05_1,AD_2_07_1,AD_3_00_1,AD_3_01_1,AD_3_03_1,AD_3_05_1,AD_3_07_1,AD_4_10_1,AD_4_11_1,AD_4_12_1,AD_4_13_1,AD_5_09_1,AD_5_10_1,AD_5_11_1,AD_5_12_1,AD_5_13_1,AD_6_09_1,AD_6_10_1,AD_6_11_1,AD_6_12_1,AD_6_13_1,AD_7_06_1,AD_7_08_1,AD_7_09_1,AD_7_11_1,AD_7_12_1,AD_8_03_1,AD_8_05_1,AD_8_07_1,AD_8_09_1,AD_8_11_1,AD_8_12_1,AD_9_04_1,AD_9_06_1,AD_9_09_1,AD_10_04_1,AD_10_06_1,AD_10_09_1,AD_10_10_1,AD_11_02_1,AD_11_03_1,AD_11_04_1,AD_11_08_1,AD_11_10_1,AD_12_02_1,AD_12_03_1,AD_12_05_1,AD_12_07_1,AD_13_00_1,AD_13_03_1,AD_13_04_1,AD_13_06_1,AD_14_00_1,AD_14_01_1,AD_14_03_1,AD_14_05_1,AD_14_07_1,AD_14_10_1,AD_14_13_1,AD_14_14_1,AD_15_00_1,AD_15_01_1,AD_15_03_1,AD_15_04_1,AD_15_06_1,N_1_01_1,N_1_05_1,N_1_07_1,N_1_08_1,N_1_09_1,N_2_00_1,N_2_01_1,N_2_03_1,N_2_06_1,N_2_08_1,N_3_01_1,N_3_03_1,N_3_04_1,N_3_06_1,N_4_01_1,N_4_02_1,N_4_04_1,N_4_06_1,N_4_08_1,N_5_03_1,N_5_04_1,N_5_06_1,N_5_08_1,N_5_10_1,N_6_01_1,N_6_02_1,N_6_03_1,N_6_06_1,N_6_08_1,N_7_01_1,N_7_02_1,N_7_04_1,N_7_07_1,N_8_01_1,N_8_05_1,N_8_07_1,N_9_00_1,N_9_03_1,N_9_06_1,N_9_08_1,N_9_12_1
ENSG00000078124,25,10,16,33,22,16,49,25,25,31,5,21,57,74,20,50,19,23,9,4,19,8,0,18,13,27,34,20,19,49,11,13,32,21,20,56,10,25,16,1,13,5,18,33,16,10,32,33,13,2,9,16,34,34,15,48,7,10,15,34,4,23,38,33,46,33,26,24,37,39,0,4,43,8,1,46,29,16,13,60,42,21,19,54,48,23,13,4,0,2,1,14,25,7,38,49,14,16,56,38,14,46,26,14,19,30,38,15,24,6,13,27,26,17,24
ENSG00000166575,11,2,1,5,29,18,11,11,34,23,15,13,21,23,12,21,2,2,13,22,9,28,0,1,19,2,6,0,7,24,17,11,25,12,18,19,3,8,7,0,6,4,30,17,14,7,33,12,34,44,10,0,10,16,13,6,13,24,1,3,0,13,27,24,12,18,21,15,20,13,4,2,0,42,3,0,2,11,10,33,11,14,10,25,25,3,5,19,0,3,0,11,7,2,8,19,28,19,10,23,5,21,6,11,16,6,0,12,14,5,5,28,10,5,10
ENSG00000137760,11,0,10,19,16,16,14,12,14,6,5,15,33,17,9,22,8,7,4,8,22,0,20,15,12,11,19,11,6,37,2,11,2,3,21,6,12,11,4,1,40,4,14,19,0,18,16,30,1,20,3,0,0,11,1,19,25,19,0,15,0,17,47,22,4,16,0,34,16,15,5,6,10,34,7,0,26,9,13,19,2,15,9,19,34,17,2,5,0,46,5,3,2,0,23,9,7,14,0,10,25,21,41,11,11,16,7,29,1,7,10,6,13,26,8
ENSG00000075239,8,5,4,17,16,23,16,23,24,12,25,17,48,6,25,25,9,20,8,11,18,0,13,8,0,12,14,2,5,31,27,10,25,5,4,10,7,6,10,43,10,18,23,41,6,15,37,37,11,0,22,8,0,12,44,20,2,9,1,13,7,11,43,7,9,22,7,25,26,4,3,0,19,18,10,3,24,6,7,36,33,27,4,20,31,30,10,18,0,0,17,17,7,8,23,13,13,16,3,4,26,3,14,21,17,15,23,21,9,12,17,40,20,0,9
ENSG00000149311,52,50,81,45,91,79,96,105,59,98,64,75,123,114,38,174,54,42,51,55,34,84,98,52,38,74,14,26,28,124,59,66,91,45,92,59,67,39,52,5,83,39,93,74,14,50,124,89,22,21,90,27,56,83,60,84,48,66,35,46,25,69,114,94,75,124,32,117,65,49,48,65,127,50,42,2,66,84,64,165,184,102,97,155,107,72,55,46,0,0,15,34,46,30,55,101,58,79,31,60,95,73,116,74,61,68,38,87,41,61,66,67,38,69,96
ENSG00000086827,4,10,1,13,9,10,7,12,44,15,2,4,28,5,0,13,14,16,0,3,27,9,2,7,16,11,3,1,0,19,17,17,11,2,4,3,1,1,11,10,8,6,17,14,19,3,17,15,5,1,12,0,5,10,0,33,2,1,0,14,4,27,18,3,4,33,1,17,24,9,3,0,6,3,0,2,7,5,3,21,22,9,15,20,13,16,10,0,0,0,2,0,12,4,9,9,4,5,1,4,18,17,20,9,1,5,15,14,9,0,10,13,0,0,10
ENSG00000109956,13,18,24,20,22,14,18,41,29,8,21,18,44,44,28,28,13,24,27,14,20,47,6,5,39,11,5,1,2,64,26,15,16,13,33,28,6,30,10,2,29,17,46,31,11,21,15,30,19,6,28,5,1,24,14,51,18,6,3,25,10,37,15,10,48,15,10,41,22,8,31,4,20,48,24,10,31,36,11,60,12,5,26,51,45,20,26,20,2,5,11,14,5,5,29,29,27,29,36,11,64,44,27,14,16,26,16,54,13,27,14,24,23,18,22
ENSG00000015171,5,8,13,17,9,17,15,24,9,38,26,12,38,4,5,48,10,24,14,7,17,31,5,4,12,16,27,3,0,21,7,13,47,14,23,12,4,29,3,0,12,0,25,17,9,1,7,15,3,34,8,13,5,5,3,28,14,2,4,14,12,22,11,23,11,22,9,19,16,1,21,0,27,29,4,2,19,18,7,27,14,7,15,27,21,28,29,3,0,0,6,2,24,0,14,14,19,15,9,58,35,13,32,23,21,21,18,12,7,26,19,23,6,20,36
ENSG00000151461,27,3,20,18,38,12,8,21,14,26,8,21,35,44,4,33,6,16,15,21,10,16,1,21,10,5,18,3,6,37,11,10,25,11,17,30,14,26,24,13,43,2,5,42,12,11,27,23,10,0,5,7,35,25,9,29,8,3,5,23,1,28,36,42,19,15,7,40,27,20,21,1,19,6,28,1,10,10,15,37,33,34,31,52,46,29,22,38,0,4,7,15,0,1,18,26,13,36,39,13,12,1,19,19,32,15,10,26,6,3,19,9,16,3,31
ENSG00000107614,30,16,38,32,37,7,50,33,27,48,17,37,62,29,49,91,23,34,26,21,18,18,2,38,38,41,37,0,24,69,52,34,16,37,37,34,5,9,26,62,22,5,31,18,32,7,29,40,1,0,12,1,4,34,32,33,10,3,23,21,14,21,63,18,33,61,21,52,51,19,14,30,60,17,10,97,30,27,20,68,43,43,18,37,44,29,11,15,0,9,27,20,27,15,30,48,29,50,36,35,21,64,17,22,32,21,16,26,26,20,47,22,22,45,66
ENSG00000165309,21,18,26,19,17,21,66,31,45,19,20,44,40,32,20,59,21,20,7,5,17,10,3,19,32,35,7,3,11,44,18,71,12,14,31,33,19,11,28,1,26,18,35,38,6,14,43,50,17,5,14,36,10,32,19,24,13,1,4,16,6,22,26,45,41,6,14,26,29,11,48,19,40,39,5,21,22,15,34,57,62,27,15,29,37,47,13,28,0,0,13,15,13,18,5,19,33,44,1,41,38,35,16,8,12,10,22,40,17,27,25,47,17,22,52
ENSG00000122952,0,13,9,2,5,2,0,5,1,1,0,2,20,10,4,7,0,1,7,0,7,9,0,7,11,3,0,6,1,10,2,1,3,7,4,4,3,13,3,0,7,2,2,2,4,0,1,7,0,54,0,8,3,1,8,15,3,5,0,2,0,1,7,5,1,7,5,12,10,4,20,0,2,24,16,0,8,2,2,18,12,6,15,11,11,25,2,7,0,0,5,3,8,1,9,5,4,10,3,10,5,13,3,13,6,4,8,13,6,7,4,24,1,1,6
ENSG00000072401,16,3,11,0,8,2,17,6,17,7,15,27,11,9,0,37,9,4,5,7,15,13,3,5,6,0,2,0,1,8,13,6,7,6,14,6,0,0,0,3,9,10,1,13,27,6,4,16,2,0,5,3,0,39,14,10,3,10,1,13,0,17,39,16,7,2,10,30,4,14,5,0,8,3,0,0,10,19,0,17,36,1,4,16,15,3,6,3,0,0,0,3,0,5,0,3,16,12,2,20,2,4,11,3,2,8,7,35,4,6,19,3,0,0,8
ENSG00000138326,13,7,14,18,16,7,25,26,9,20,2,15,53,40,2,20,9,7,3,6,19,5,1,28,26,27,9,1,16,40,26,16,15,14,16,9,7,30,13,0,7,9,22,8,13,17,11,17,26,1,5,11,75,25,1,39,0,11,5,6,14,17,48,9,2,51,15,17,3,5,11,5,63,11,2,42,12,40,9,56,15,43,16,44,29,17,15,25,0,11,16,3,2,14,14,21,11,31,25,29,20,5,42,17,24,2,27,41,12,9,14,19,27,7,19
ENSG00000108175,17,9,19,46,23,21,44,31,40,6,25,32,56,11,26,53,15,19,13,34,26,4,16,18,25,52,23,19,10,55,12,1,34,20,32,47,29,40,10,10,33,19,16,32,8,32,47,37,8,63,37,2,3,28,6,36,35,19,8,23,5,26,28,53,38,43,43,21,35,9,14,14,45,23,16,11,18,23,13,66,50,44,13,55,28,20,9,34,0,3,10,22,8,18,28,33,38,13,44,26,53,30,60,33,23,17,17,40,19,10,21,36,18,34,37
ENSG00000107779,24,13,18,62,48,36,28,26,18,33,47,45,54,32,17,68,33,12,27,17,40,31,13,7,15,32,10,0,11,62,19,31,27,14,35,50,38,11,10,3,63,22,32,32,6,15,45,43,22,2,24,10,8,50,31,47,41,10,11,9,13,31,45,14,27,27,12,29,40,53,0,8,24,22,6,1,23,27,29,60,19,29,23,48,59,12,12,10,0,5,12,36,20,8,13,15,17,26,34,41,39,67,99,24,6,29,16,33,17,29,18,36,36,17,27
ENSG00000155256,8,4,11,10,17,4,13,6,21,0,8,13,38,37,20,13,18,9,13,5,12,12,26,23,13,5,16,7,0,29,5,9,10,3,11,3,8,6,9,7,39,0,31,16,1,4,19,15,13,7,8,2,0,10,13,8,8,5,9,4,3,17,7,39,5,8,12,11,9,4,0,7,22,1,6,12,12,7,6,32,30,19,10,21,22,22,20,9,0,3,3,10,10,1,11,8,18,16,53,7,8,60,15,10,7,7,8,47,8,18,17,5,5,4,17
ENSG00000154473,11,33,8,23,21,22,13,14,12,45,13,20,42,15,13,42,10,18,17,10,15,14,7,15,23,21,19,1,0,37,12,14,17,18,34,36,19,19,11,22,36,31,11,10,43,0,27,19,2,7,3,9,6,42,9,19,12,1,21,17,4,45,43,27,21,26,10,53,19,2,5,8,28,35,6,9,21,31,3,64,20,27,22,32,32,42,10,28,0,0,30,10,6,22,18,17,21,20,1,27,23,50,41,24,11,36,21,45,5,38,16,14,23,40,9
ENSG00000019995,2,0,4,22,9,14,10,27,13,8,19,16,12,7,32,15,11,1,0,3,2,14,28,23,2,3,0,20,22,21,5,0,14,3,8,16,5,4,1,1,3,1,2,0,0,5,8,5,0,0,0,0,20,3,4,2,0,2,0,0,0,5,3,4,3,8,6,15,11,0,16,0,0,6,1,4,10,3,17,26,7,1,9,23,14,2,2,11,0,154,8,0,0,2,3,1,17,2,0,16,2,12,28,4,4,9,10,9,2,8,6,6,2,9,4
ENSG00000159335,2,6,1,19,7,3,28,8,2,0,2,3,11,21,1,8,4,10,16,1,4,1,0,0,0,1,0,0,0,13,1,1,8,0,11,1,0,3,0,0,2,1,4,5,0,0,0,6,0,0,1,1,0,2,0,14,2,1,0,8,4,16,11,0,11,15,12,8,1,3,0,0,1,0,11,0,11,2,7,13,0,2,20,4,6,0,2,12,0,0,5,0,0,0,6,5,6,2,0,9,7,2,11,4,3,1,0,7,3,2,4,7,7,1,0
ENSG00000111676,19,5,6,11,14,13,19,20,28,1,9,4,19,3,2,10,8,9,4,9,6,11,16,0,29,19,7,32,2,15,4,1,14,4,19,15,6,5,21,7,6,7,23,17,3,6,9,16,18,0,14,6,24,13,11,0,14,1,12,7,0,4,44,11,16,6,5,3,11,5,4,14,30,0,1,2,15,25,22,29,9,1,27,29,29,1,7,7,1,28,4,4,0,1,9,9,10,23,0,4,13,14,21,7,16,3,5,30,11,1,6,5,3,12,19
ENSG00000171681,32,9,27,55,43,35,72,46,39,22,34,56,86,34,26,99,37,20,26,26,28,119,1,39,47,49,17,0,30,67,34,10,58,29,31,25,21,34,54,16,35,14,38,46,55,6,52,64,26,0,23,38,25,64,39,34,38,5,6,17,13,57,24,61,23,71,82,65,23,21,24,7,89,34,9,15,36,38,27,91,42,78,49,84,56,55,32,37,0,0,30,8,43,46,52,41,54,80,21,34,40,59,43,42,50,33,34,38,19,39,32,41,36,50,36
ENSG00000139131,5,4,1,3,8,1,9,7,14,2,8,3,7,10,0,14,13,0,6,16,22,4,17,0,2,2,0,0,1,18,1,1,11,2,4,7,1,4,2,0,10,0,11,6,1,4,4,4,0,0,1,0,0,7,1,3,2,11,3,1,6,11,0,14,2,7,16,11,2,1,0,0,1,0,1,0,1,6,0,28,8,2,9,12,10,0,0,2,0,0,15,7,1,1,2,8,3,9,17,17,17,6,13,2,0,8,3,4,4,0,7,7,0,16,11
ENSG00000184575,18,20,35,30,25,11,29,61,62,25,14,19,47,28,23,44,29,31,17,14,25,31,15,2,24,9,38,21,17,44,10,6,16,16,15,11,16,24,15,1,36,2,11,12,19,10,28,26,27,0,13,7,0,12,10,24,18,28,13,36,26,16,22,27,38,25,24,25,34,24,2,1,16,59,2,21,11,54,8,94,27,39,33,35,56,15,11,32,0,0,24,16,10,22,27,36,22,17,18,24,23,28,70,27,38,21,15,17,10,25,26,31,22,21,25
ENSG00000186908,27,14,10,27,32,9,14,39,25,43,41,29,41,6,9,54,7,15,9,30,18,27,14,17,13,18,50,10,20,35,25,7,46,14,14,29,18,23,34,0,4,5,21,27,5,24,22,15,14,2,22,0,42,22,3,22,20,18,7,2,0,13,37,32,18,21,20,24,24,14,1,2,13,12,5,34,26,23,36,79,32,45,37,39,25,12,5,11,0,0,21,16,8,19,10,35,33,14,18,19,21,12,19,39,33,12,19,24,11,30,23,19,1,41,12
ENSG00000177889,14,7,3,7,13,2,14,35,13,5,5,27,27,6,36,9,9,7,4,9,0,1,3,3,13,2,0,0,0,28,7,10,20,8,11,7,7,0,1,6,2,0,23,0,2,0,13,17,1,0,3,0,9,9,0,0,8,0,2,1,12,0,7,1,18,17,2,16,10,0,0,0,3,9,6,1,0,2,0,22,9,14,2,14,25,8,0,9,51,149,8,0,16,0,13,13,14,9,20,10,1,1,1,2,12,8,7,14,3,0,16,2,2,6,12
ENSG00000196510,8,40,11,9,24,8,11,17,0,4,2,29,45,8,7,18,7,17,14,7,1,27,5,12,16,15,9,31,16,42,10,13,9,11,28,15,20,11,10,14,27,10,26,19,3,3,20,22,1,2,14,8,8,14,42,25,13,7,2,7,1,5,15,24,9,28,18,19,12,9,4,7,43,64,4,4,15,28,8,40,20,43,36,43,14,23,20,15,0,1,17,3,4,3,18,22,7,5,3,9,27,22,23,21,5,19,10,16,6,7,3,16,2,14,11
ENSG00000111275,13,24,25,41,31,19,33,31,7,27,14,10,61,22,37,34,21,19,22,5,8,11,8,23,18,35,6,0,15,54,20,24,13,15,23,19,19,6,29,2,16,7,31,31,17,0,26,24,4,1,9,18,7,27,12,25,20,31,6,10,22,21,26,19,29,33,31,59,20,5,4,14,18,7,16,31,24,18,19,67,17,38,15,37,47,28,8,12,0,0,27,23,15,3,12,29,24,32,1,15,40,43,40,35,33,21,17,31,8,25,27,10,17,9,33
ENSG00000089053,30,37,49,44,32,17,58,38,34,34,42,32,79,50,13,69,41,22,11,6,32,8,6,31,35,25,24,1,2,77,18,51,32,30,27,38,56,46,24,8,57,29,40,43,15,28,40,50,1,0,28,9,24,30,22,65,35,7,8,12,2,53,60,40,42,68,3,40,54,23,8,0,53,42,40,28,18,25,31,69,32,26,33,70,55,40,31,28,2,9,28,1,23,6,33,52,59,56,11,17,67,31,41,37,34,36,18,57,26,15,55,34,35,63,47
ENSG00000139719,29,10,12,19,9,10,26,23,36,19,24,11,24,0,18,29,8,3,13,6,10,4,11,11,5,7,3,0,5,32,0,8,28,13,29,14,8,4,15,0,1,6,3,19,7,1,10,16,12,0,20,33,24,20,0,50,8,0,6,7,14,11,3,15,17,13,10,39,12,14,13,0,22,1,3,16,25,13,4,46,7,13,7,29,28,4,5,9,4,0,2,0,9,1,24,19,12,18,1,3,18,7,12,12,1,6,11,8,10,9,13,16,28,7,19
ENSG00000139722,11,2,3,15,8,1,4,5,20,3,12,6,23,12,9,8,8,6,7,0,8,0,2,1,1,7,4,1,3,25,15,0,5,7,11,9,14,2,12,0,50,3,2,20,0,13,7,12,5,0,11,7,1,5,3,6,12,11,12,0,20,11,4,3,8,22,0,0,5,4,0,0,3,13,4,7,7,7,24,21,17,5,0,25,19,9,5,9,51,0,0,0,4,0,8,14,12,4,0,0,0,9,19,7,9,9,6,8,14,8,4,8,4,0,7
ENSG00000150991,1,1,0,3,7,4,1,7,5,7,6,17,11,2,0,13,0,2,0,0,13,0,0,11,1,1,9,0,1,12,6,10,5,2,8,9,12,3,9,0,14,1,9,10,1,9,5,21,11,0,6,23,13,18,22,15,6,0,0,2,0,12,7,0,0,18,0,14,0,1,2,0,6,7,2,0,19,4,5,21,7,14,16,9,9,26,2,3,9,0,18,6,0,2,2,8,18,7,28,17,1,20,14,8,2,5,7,8,3,21,0,20,10,3,20
ENSG00000132950,0,1,15,3,12,3,9,9,2,19,12,10,14,0,6,46,5,4,0,12,3,6,22,3,1,19,14,0,11,14,6,14,11,3,0,0,0,9,4,11,16,1,23,6,15,2,9,4,0,0,5,7,1,8,0,5,5,15,14,7,0,33,15,18,11,6,16,6,9,4,6,2,19,2,1,4,6,4,3,18,25,21,22,21,17,11,13,13,4,0,0,2,7,5,0,9,11,6,0,13,15,23,1,8,15,8,19,11,9,1,2,3,2,15,12
ENSG00000121741,10,7,28,47,44,33,67,55,49,37,15,46,75,108,17,73,24,14,15,28,11,33,35,24,29,32,31,7,15,82,54,13,68,34,41,36,27,41,29,2,14,2,31,42,9,14,77,56,18,4,41,26,30,35,12,47,28,28,41,30,21,93,24,81,41,32,42,41,33,22,2,3,54,69,9,13,31,25,33,92,41,61,32,81,40,45,18,27,3,0,49,8,24,16,27,37,47,41,23,33,74,34,57,44,21,26,37,24,10,36,45,30,24,34,33
ENSG00000132932,26,7,12,11,24,29,40,31,20,38,22,37,95,31,3,68,25,18,25,33,80,9,2,21,32,38,19,61,28,69,42,15,27,27,32,28,8,3,6,6,26,18,18,37,24,26,23,59,18,47,28,38,7,64,17,43,7,17,18,16,25,54,74,14,31,34,14,66,24,17,17,0,37,51,17,10,31,29,18,68,85,46,35,63,57,28,13,14,0,9,8,33,21,24,20,44,28,34,29,39,33,45,57,54,17,13,28,45,21,37,19,34,12,42,36
ENSG00000120697,3,0,16,0,3,0,0,10,9,24,11,6,19,9,6,19,16,3,2,0,10,4,0,5,14,8,15,1,3,13,9,1,5,3,2,7,5,0,0,0,1,3,9,6,2,0,6,12,7,0,0,0,1,1,23,5,0,12,8,5,0,2,1,4,4,1,13,8,10,5,3,0,31,4,2,3,3,0,16,19,1,3,12,8,16,3,1,4,0,0,4,2,8,0,11,13,12,22,3,1,5,1,24,13,3,12,8,12,3,0,14,4,0,0,3
ENSG00000102804,4,17,17,11,29,25,25,7,19,32,28,37,31,17,17,32,10,14,10,13,7,37,11,9,11,25,7,13,5,51,5,25,22,11,32,38,41,26,23,0,69,10,10,38,2,2,17,23,13,0,8,44,25,27,13,27,31,12,14,8,0,12,19,46,11,15,10,37,11,10,5,25,26,28,1,13,5,20,15,72,31,21,24,54,28,33,16,14,5,0,20,16,8,14,21,17,20,18,3,11,10,40,36,26,13,30,14,52,20,11,49,11,2,13,25
ENSG00000133112,2,18,18,16,30,22,39,27,31,23,14,4,29,39,4,36,16,14,7,11,57,13,8,31,33,32,28,0,8,52,40,1,17,15,34,34,16,23,23,0,42,23,31,16,4,11,27,36,24,4,7,42,51,5,6,22,22,0,10,20,4,11,30,23,13,31,35,31,47,2,2,21,38,15,2,20,23,13,8,46,39,46,35,30,28,22,9,32,14,1,41,17,5,25,27,18,21,23,22,23,14,17,41,29,29,25,21,48,27,16,51,31,31,16,20
ENSG00000136100,6,5,3,8,13,11,19,5,33,10,22,20,25,18,10,39,12,13,14,6,17,39,6,1,20,16,3,5,6,23,12,50,23,24,41,35,5,6,8,31,25,9,12,14,18,2,12,16,24,0,4,10,3,29,16,17,6,15,6,0,9,3,27,2,20,23,19,28,22,3,10,16,6,10,0,4,3,23,10,43,8,0,38,22,14,16,15,6,0,0,19,9,19,1,13,46,2,24,2,24,19,5,13,20,10,12,5,15,5,6,1,7,4,2,22
ENSG00000118939,0,0,5,3,3,3,0,2,0,2,0,11,12,0,0,5,5,15,0,0,3,0,1,0,2,7,0,4,0,5,0,6,5,2,10,0,0,1,0,2,3,2,0,1,0,0,7,5,1,0,1,0,0,18,10,1,2,3,18,0,0,0,2,10,0,0,0,3,3,7,0,0,2,0,0,0,0,0,0,5,0,3,9,3,2,0,6,1,0,0,0,0,2,0,9,4,7,1,0,3,0,0,1,4,7,3,2,1,3,9,0,1,5,5,1
ENSG00000139746,30,15,11,15,36,8,48,26,6,8,12,45,63,46,25,57,33,27,12,19,13,73,32,34,32,15,13,3,2,34,23,30,35,13,32,39,16,17,6,3,7,16,45,36,19,10,33,47,13,17,1,1,22,22,32,28,13,1,14,16,4,24,72,38,25,24,12,17,23,10,21,8,25,28,6,1,10,45,18,64,49,65,47,44,53,28,20,3,0,3,22,15,17,18,10,37,55,19,15,18,45,26,41,47,32,31,15,24,6,19,61,47,14,12,18
ENSG00000134900,6,9,12,24,27,32,41,16,21,37,25,41,24,12,5,41,18,9,15,26,45,7,1,3,39,29,13,10,6,25,13,37,13,9,19,8,21,14,20,12,6,19,21,28,22,12,34,22,9,6,7,18,0,18,1,33,17,9,11,11,13,7,13,18,17,13,76,12,33,10,12,0,56,32,7,4,22,27,16,48,47,5,31,58,29,32,8,20,0,0,31,0,6,20,23,31,21,36,4,32,67,13,27,21,17,12,12,27,5,5,2,23,11,29,34
ENSG00000198176,9,12,18,6,11,2,10,13,3,36,6,21,30,40,15,30,8,3,35,8,15,5,2,6,16,10,3,10,4,36,7,5,33,7,1,12,5,4,10,1,11,4,13,20,10,9,10,28,10,0,1,26,9,6,0,19,6,9,14,4,5,11,18,1,17,1,4,14,10,3,3,19,34,39,29,2,12,23,10,30,12,5,9,22,25,15,13,5,0,0,1,12,0,13,3,9,9,12,7,4,21,3,26,14,12,7,10,33,10,4,24,9,2,4,17
ENSG00000100823,4,4,7,5,0,13,1,4,5,1,2,4,17,0,7,6,7,3,0,0,3,1,0,1,1,0,11,3,3,9,1,1,10,7,18,7,7,1,2,0,1,1,1,7,0,1,4,6,10,1,3,0,0,7,0,12,1,4,0,4,0,0,4,2,0,3,1,12,7,11,0,0,2,2,0,0,10,0,0,30,4,7,6,26,22,1,7,4,0,0,3,0,0,0,1,10,4,15,4,19,32,5,1,8,5,7,7,3,2,4,2,5,0,0,0
ENSG00000100836,3,6,14,4,5,3,37,7,2,14,0,6,19,0,5,9,1,1,12,0,3,0,7,0,9,8,22,1,7,11,3,1,3,5,6,1,1,10,7,5,2,0,2,8,19,3,3,9,1,0,7,0,1,0,12,11,4,0,1,7,0,2,0,0,0,4,4,5,1,0,1,0,2,0,1,0,0,17,8,19,0,10,0,16,5,1,12,2,0,5,3,0,2,0,1,5,9,9,26,4,13,10,14,3,1,9,14,1,5,10,0,6,4,4,2
ENSG00000092330,1,18,7,2,10,1,1,2,3,3,10,3,18,0,0,11,4,4,7,2,17,1,5,13,6,4,2,2,1,22,5,3,4,2,8,11,7,6,15,1,0,16,32,4,0,2,0,7,3,1,13,0,0,20,3,3,8,0,11,6,0,6,1,1,12,12,1,18,5,0,2,11,2,5,0,1,9,0,3,21,14,13,9,7,6,3,9,0,1,0,5,3,12,6,2,17,2,5,0,2,0,11,20,13,31,14,12,25,5,0,6,8,4,1,19
ENSG00000100505,38,29,20,25,16,22,12,6,29,23,22,13,46,38,0,70,22,6,26,14,14,9,0,38,30,32,38,6,18,48,32,17,16,20,19,26,16,15,38,1,13,5,33,37,2,15,38,30,15,0,37,10,6,29,0,22,17,1,6,10,4,26,18,41,38,30,5,33,27,21,15,12,9,10,23,19,24,10,30,62,17,38,34,61,47,38,17,25,0,0,5,13,11,6,15,16,28,46,11,22,41,11,52,25,20,14,30,45,17,16,42,30,20,37,28
ENSG00000072121,32,38,37,37,40,14,35,26,43,72,46,49,129,76,43,71,30,10,20,20,12,12,30,36,16,24,62,19,15,121,37,34,65,34,51,56,26,54,41,0,50,31,46,42,11,35,72,62,51,51,52,6,4,45,61,49,34,9,29,12,7,37,21,50,98,26,28,66,50,25,49,31,41,29,10,39,33,28,25,119,30,37,26,83,74,68,36,25,73,2,16,13,52,8,36,45,46,46,2,20,94,28,100,52,25,68,24,62,34,47,42,39,21,34,35
ENSG00000071246,12,10,20,17,30,10,2,20,2,11,8,5,29,26,3,20,7,13,8,7,5,45,8,0,15,8,1,7,6,37,5,5,10,10,12,9,4,19,8,7,14,1,10,22,24,27,4,4,8,39,3,2,0,14,8,25,13,14,0,2,1,9,19,29,6,2,14,13,10,8,2,0,16,18,8,21,16,22,9,32,15,25,33,20,14,32,10,5,0,0,2,8,0,1,12,11,9,19,52,14,8,27,5,10,10,8,13,17,8,5,18,18,9,0,15
ENSG00000198668,12,12,33,16,34,13,16,22,38,43,18,31,46,10,2,39,19,18,13,9,22,39,0,18,0,11,22,1,23,55,22,12,12,27,28,24,21,18,17,18,19,15,21,21,3,4,32,19,1,0,32,8,57,33,14,30,17,27,10,14,23,22,31,42,29,19,23,38,9,10,12,3,29,34,0,2,9,9,28,38,16,14,36,57,33,26,39,21,17,0,50,4,11,11,15,11,24,19,3,32,34,65,11,21,8,11,20,25,18,9,31,20,6,12,15
ENSG00000066739,20,24,30,34,47,24,41,39,17,14,43,45,71,46,8,84,29,29,17,10,43,41,77,19,54,17,42,22,12,67,42,21,36,29,53,58,17,61,32,12,27,9,62,52,45,34,90,30,11,92,44,52,20,29,43,34,24,10,18,25,6,25,98,23,30,37,28,67,78,13,30,29,54,49,32,82,51,31,36,85,86,28,48,71,47,83,36,22,8,9,19,17,15,7,40,46,30,35,23,30,32,58,58,56,28,31,57,49,42,38,55,54,16,27,48
ENSG00000100749,2,11,15,6,11,2,23,16,2,11,22,20,11,0,3,18,10,5,12,3,8,0,7,0,1,8,0,0,1,18,4,3,7,4,4,4,5,6,16,0,0,0,4,26,3,0,29,15,15,0,3,5,0,1,3,6,8,0,0,0,7,16,25,5,3,13,1,8,8,17,0,0,9,0,4,23,13,3,4,17,12,38,19,14,3,4,6,4,0,0,0,0,27,4,1,6,12,4,4,1,33,1,1,7,6,9,1,17,1,2,0,18,5,16,3
ENSG00000100811,37,5,13,27,19,9,21,11,27,27,10,56,47,5,9,34,22,15,8,13,15,9,3,29,2,20,11,4,4,33,20,20,15,18,35,25,4,4,12,3,7,2,32,30,14,24,13,10,15,2,8,3,0,29,1,21,10,8,6,10,4,6,27,22,35,28,60,24,28,9,2,22,34,2,5,25,9,36,6,44,41,48,33,37,50,21,7,5,0,0,7,9,11,2,11,18,14,35,15,4,23,71,62,16,16,8,20,22,25,37,1,35,13,8,21
ENSG00000100711,13,20,0,12,23,17,24,24,19,14,10,20,31,19,3,38,30,15,22,5,7,30,3,3,18,16,10,24,10,42,31,9,10,16,15,31,10,22,18,1,31,12,13,27,18,33,13,18,4,4,8,9,17,12,17,12,12,14,5,0,26,11,9,9,7,39,9,23,5,6,15,14,14,12,8,14,14,14,16,45,22,19,38,34,33,46,16,31,2,0,8,10,1,11,13,24,14,17,26,27,23,17,30,19,14,8,14,23,12,15,16,9,31,24,9
